LOCATION,SUBURB,Reason Code,Audit Date,ADDRESS,lon,lat,type,loctype,address,north,south,east,west
Rosedale-Longford Road,Longford,ABC,Jan-22,"Rosedale-Longford Road, Longford, Australia",146.9873281,-38.1717417,route,geometric_center,"rosedale-longford rd, longford vic 3851, australia",-38.15933679999997,-38.17268910000003,147.0849857,146.8883819
Rosehill Road,Lower Plenty,BCD,Apr-22,"Rosehill Road, Lower Plenty, Australia",145.1249165,-37.7368337,route,geometric_center,"rosehill rd, lower plenty vic 3093, australia",-37.7348729,-37.7388209,145.1348243,145.1154271
Rosehill Road,Keilor East,C,Apr-22,"Rosehill Road, Keilor East, Australia",144.8771486,-37.7474071,route,geometric_center,"rosehill rd, keilor east vic 3033, australia",-37.7457480197085,-37.7484459802915,144.881092,144.8721716
Ross Road,Croydon,ABCD,Jul-21,"Ross Road, Croydon, Australia",145.2642779,-37.7989263,route,geometric_center,"ross rd, croydon vic 3136, australia",-37.7976279197085,-37.8003258802915,145.2656332,145.2625246
Rowan Drive,Kealba,C,T,"Rowan Drive, Kealba, Australia",144.8264719,-37.7322679,route,geometric_center,"rowan dr, kealba vic 3021, australia",-37.7265758,-37.7375639,144.8325622,144.8208792
Rowes Road,Werribee,C,Sep-21,"Rowes Road, Werribee, Australia",144.6373439,-37.8899931,route,geometric_center,"rowes rd, werribee vic 3030, australia",-37.88702179999998,-37.89446320000003,144.6412359,144.6349786
Roxburgh Park Drive,Roxburgh Park,C,Apr-22,"Roxburgh Park Drive, Roxburgh Park, Australia",144.9202625,-37.6294216,route,geometric_center,"roxburgh park dr, roxburgh park vic 3064, australia",-37.6204298,-37.6407938,144.9253974,144.9171412
Royal Parade,Parkville,A,May-22,"Royal Parade, Parkville, Australia",144.9588896,-37.7893305,route,geometric_center,"royal parade, parkville vic 3052, australia",-37.77797679999998,-37.79974310000003,144.9603092,144.9573773
Rushworth Road,Murchison,BC,Apr-22,"Rushworth Road, Murchison, Australia",145.210225,-36.6180329,route,geometric_center,"rushworth rd, murchison vic 3610, australia",-36.6165990197085,-36.6192969802915,145.2148736,145.2069343
Rushworth Tatura Road,Rushworth,BC,Mar-22,"Rushworth Tatura Road, Rushworth, Australia",145.0617498,-36.5312011,route,geometric_center,"rushworth-tatura rd, rushworth vic 3612, australia",-36.49849579999997,-36.58664720000003,145.1210041,145.0164108
Rushworth-Tatura Road,Rushworth,C,Mar-22,"Rushworth-Tatura Road, Rushworth, Australia",145.0617498,-36.5312011,route,geometric_center,"rushworth-tatura rd, rushworth vic 3612, australia",-36.49849579999997,-36.58664720000003,145.1210041,145.0164108
Russell Street,Casterton,C,Oct-21,"Russell Street, Casterton, Australia",141.3928961,-37.5932827,route,geometric_center,"russell st, casterton vic 3311, australia",-37.5893076,-37.5972699,141.3942575302915,141.3915595697085
Russell Street,Ballarat,C,Nov-21,"Russell Street, Ballarat, Australia",143.8302125,-37.5644362,route,geometric_center,"russell st, newington vic 3350, australia",-37.5576012,-37.57107,143.8339195,143.8237385
Ryans Road,Eltham North,ABCD,Apr-22,"Ryans Road, Eltham North, Australia",145.1410577,-37.6977116,route,geometric_center,"ryans rd, eltham north vic 3095, australia",-37.68686639999998,-37.70971090000003,145.1429121,145.1392585
Ryrie Street,Geelong,BCD,May-21,"Ryrie Street, Geelong, Australia",144.364361,-38.1505776,route,geometric_center,"ryrie st, geelong vic 3220, australia",-38.14741409999998,-38.15360850000003,144.3748836,144.3526257
Sages Road,Baxter,BC,Jan-22,"Sages Road, Baxter, Australia",145.1409504,-38.196821,route,geometric_center,"sages rd, baxter vic 3911, australia",-38.19404169999998,-38.19713610000002,145.148053,145.1335084
Sailors Gully Road,Eaglehawk,C,Apr-22,"Sailors Gully Road, Eaglehawk, Australia",144.2380954,-36.7085104,route,geometric_center,"sailors gully rd, eaglehawk vic 3556, australia",-36.70747109999997,-36.71782010000003,144.2521811,144.2268632
Sailors Gully Road,Sailors Gully,C,Apr-22,"Sailors Gully Road, Sailors Gully, Australia",144.2335865,-36.7088337,route,geometric_center,"sailors gully rd, sailors gully vic 3556, australia",-36.70705931970851,-36.70975728029151,144.2471727,144.2210256
Sale-Heyfield Road,Denison,ABC,Jan-22,"Sale-Heyfield Road, Denison, Australia",146.8735657,-38.0251884,route,geometric_center,"sale-heyfield rd, denison vic 3858, australia",-38.00879029999997,-38.05731890000003,146.9669342,146.7794302
Sale-Heyfield Road,Fulham,C,Jan-22,"Sale-Heyfield Road, Fulham, Australia",146.9659534,-38.0567069,route,geometric_center,"sale-heyfield rd, fulham vic 3851, australia",-38.03349539999998,-38.09984020000002,146.989243,146.92154
